LINK_MODEL_BASED::ORIGINAL::LEFT_KNEE_ANGLE
File	Frame	X 	Y 	Z 
 - 	351	-24.424168	3.100674	8.340222
 - 	352	-28.360287	3.776771	8.030180
 - 	353	-32.609047	4.450988	7.701710
 - 	354	-37.164219	5.118336	7.371806
 - 	355	-42.008343	5.773587	7.061696
 - 	356	-47.108891	6.399540	6.798369
 - 	357	-52.420151	6.962128	6.606273
 - 	358	-57.884151	7.411540	6.496905
 - 	359	-63.433086	7.688216	6.461416
 - 	360	-68.996170	7.739853	6.464405
 - 	361	-74.508278	7.547550	6.440444
 - 	362	-79.914673	7.142232	6.302015
 - 	363	-85.167221	6.596584	5.963020
 - 	364	-90.216835	6.008364	5.368125
 - 	365	-95.008606	5.487785	4.516862
 - 	366	-99.480499	5.127865	3.462924
 - 	367	-103.564857	4.959569	2.275581
 - 	368	-107.193619	4.938535	1.003646
 - 	369	-110.305801	4.980702	-0.312370
 - 	370	-112.853462	5.009950	-1.600590
 - 	371	-114.802490	4.980901	-2.742350
 - 	372	-116.128517	4.873142	-3.615439
 - 	373	-116.813148	4.676188	-4.170447
 - 	374	-116.844879	4.382056	-4.450083
 - 	375	-116.221283	3.984979	-4.530830
 - 	376	-114.947578	3.481865	-4.485169
 - 	377	-113.036507	2.874357	-4.391444
 - 	378	-110.516006	2.175135	-4.297983
 - 	379	-107.435509	1.415192	-4.155875
 - 	380	-103.858788	0.644555	-3.842623
 - 	381	-99.848457	-0.080846	-3.262622
 - 	382	-95.453690	-0.721957	-2.414219
 - 	383	-90.706398	-1.269759	-1.379396
 - 	384	-85.626953	-1.734439	-0.259129
 - 	385	-80.231316	-2.129610	0.865778
 - 	386	-74.531845	-2.472308	1.935781
 - 	387	-68.535568	-2.776201	2.948643
 - 	388	-62.246754	-3.031535	3.978601
 - 	389	-55.676956	-3.199983	5.100343
 - 	390	-48.865490	-3.229562	6.297053
 - 	391	-41.906265	-3.079492	7.450637
 - 	392	-34.965919	-2.744073	8.400100
 - 	393	-28.279070	-2.262902	9.005178
 - 	394	-22.123119	-1.713379	9.191426
 - 	395	-16.782431	-1.188675	8.975720
 - 	396	-12.505092	-0.767595	8.458385
 - 	397	-9.458451	-0.489589	7.780510
 - 	398	-7.697777	-0.348954	7.074194
 - 	399	-7.160418	-0.308443	6.430296
 - 	400	-7.688890	-0.321316	5.887412
 - 	401	-9.074029	-0.350002	5.441144
 - 	402	-11.103830	-0.375458	5.066224
 - 	403	-13.605489	-0.396219	4.734534
 - 	404	-16.466431	-0.416654	4.423091
 - 	405	-19.625025	-0.430531	4.119709
 - 	406	-23.037056	-0.414297	3.831114
 - 	407	-26.634769	-0.340268	3.589435
 - 	408	-30.298712	-0.200607	3.446393
 - 	409	-33.858261	-0.017251	3.448730
 - 	410	-37.121578	0.175410	3.608355
 - 	411	-39.919422	0.360841	3.890408
 - 	412	-42.142143	0.558578	4.224454
 - 	413	-43.751614	0.817732	4.527316
 - 	414	-44.762897	1.188242	4.730373
 - 	415	-45.211529	1.686630	4.806512
 - 	416	-45.129673	2.281175	4.785975
 - 	417	-44.541195	2.905881	4.752244
 - 	418	-43.467152	3.491941	4.816185
 - 	419	-41.929535	3.994658	5.073491
 - 	420	-39.952629	4.396350	5.560475
 - 	421	-37.567009	4.690857	6.227325
 - 	422	-34.817448	4.869667	6.945548
 - 	423	-31.772337	4.915016	7.557078
 - 	424	-28.531952	4.799031	7.948410
 - 	425	-25.227629	4.493621	8.110694
 - 	426	-22.003544	3.989931	8.146091
 - 	427	-18.988260	3.318221	8.210753
 - 	428	-16.277290	2.554430	8.426114
 - 	429	-13.943226	1.801785	8.808953
 - 	430	-12.064259	1.157147	9.260769
 - 	431	-10.742249	0.684895	9.620958
 - 	432	-10.089252	0.412274	9.752956
 - 	433	-10.190776	0.343949	9.613364
 - 	434	-11.073787	0.474618	9.256287
 - 	435	-12.698092	0.786985	8.781563
 - 	436	-14.972011	1.247246	8.285285
 - 	437	-17.784336	1.808731	7.838984
